Date,MSFT,^GSPC
2010-01-04,23.74981689453125,1132.989990234375
2010-01-05,23.75748062133789,1136.52001953125
2010-01-06,23.611684799194336,1137.1400146484375
2010-01-07,23.366130828857422,1141.68994140625
2010-01-08,23.52727699279785,1144.97998046875
2010-01-11,23.228010177612305,1146.97998046875
2010-01-12,23.074535369873047,1136.219970703125
2010-01-13,23.289392471313477,1145.6800537109375
2010-01-14,23.75748062133789,1148.4599609375
2010-01-15,23.68075180053711,1136.030029296875
2010-01-19,23.86491584777832,1150.22998046875
2010-01-20,23.47356605529785,1138.0400390625
2010-01-21,23.028491973876953,1116.47998046875
2010-01-22,22.222768783569336,1091.760009765625
2010-01-25,22.49901008605957,1096.780029296875
2010-01-26,22.63714027404785,1092.1700439453125
2010-01-27,22.767589569091797,1097.5
2010-01-28,22.376239776611328,1084.530029296875
2010-01-29,21.62423324584961,1073.8699951171875
2010-02-01,21.800718307495117,1089.18994140625
2010-02-02,21.839086532592773,1103.3199462890625
2010-02-03,21.969533920288086,1097.280029296875
2010-02-04,21.36332130432129,1063.1099853515625
2010-02-05,21.501447677612305,1066.18994140625
2010-02-08,21.2712345123291,1056.739990234375
2010-02-09,21.493770599365234,1070.52001953125
2010-02-10,21.478425979614258,1068.1300048828125
2010-02-11,21.57818603515625,1078.469970703125
2010-02-12,21.432392120361328,1075.510009765625
2010-02-16,21.856407165527344,1094.8699951171875
2010-02-17,22.04142951965332,1099.510009765625
2010-02-18,22.334394454956055,1106.75
2010-02-19,22.180204391479492,1109.1700439453125
2010-02-22,22.14937400817871,1108.010009765625
2010-02-23,21.840988159179688,1094.5999755859375
2010-02-24,22.072267532348633,1105.239990234375
2010-02-25,22.04913902282715,1102.93994140625
2010-02-26,22.103111267089844,1104.489990234375
2010-03-01,22.372941970825195,1115.7099609375
2010-03-02,21.94120979309082,1118.31005859375
2010-03-03,21.94120979309082,1118.7900390625
2010-03-04,22.072267532348633,1122.969970703125
2010-03-05,22.04142951965332,1138.699951171875
2010-03-08,22.072267532348633,1138.5
2010-03-09,22.203332901000977,1140.449951171875
2010-03-10,22.334394454956055,1145.6099853515625
2010-03-11,22.49629020690918,1150.239990234375
2010-03-12,22.5656795501709,1149.989990234375
2010-03-15,22.58110237121582,1150.510009765625
2010-03-16,22.642772674560547,1159.4599609375
2010-03-17,22.843215942382812,1166.2099609375
2010-03-18,22.82779884338379,1165.8299560546875
2010-03-19,22.8123836517334,1159.9000244140625
2010-03-22,22.820087432861328,1165.81005859375
2010-03-23,23.035953521728516,1174.1700439453125
2010-03-24,22.8586368560791,1167.719970703125
2010-03-25,23.136180877685547,1165.72998046875
2010-03-26,22.866342544555664,1166.5899658203125
2010-03-29,22.8123836517334,1173.219970703125
2010-03-30,22.951152801513672,1173.27001953125
2010-03-31,22.58110237121582,1169.4300537109375
2010-04-01,22.480878829956055,1178.0999755859375
2010-04-05,22.5656795501709,1187.43994140625
2010-04-06,22.60422706604004,1189.43994140625
2010-04-07,22.627357482910156,1182.449951171875
2010-04-08,23.066797256469727,1186.43994140625
2010-04-09,23.390594482421875,1194.3699951171875
2010-04-12,23.37517547607422,1196.47998046875
2010-04-13,23.47540283203125,1197.300048828125
2010-04-14,23.760648727416992,1210.6500244140625
2010-04-15,23.7991943359375,1211.6700439453125
2010-04-16,23.645008087158203,1192.1300048828125
2010-04-19,23.93025779724121,1197.52001953125
2010-04-20,24.17696189880371,1207.1700439453125
2010-04-21,24.153831481933594,1205.93994140625
2010-04-22,24.20008087158203,1208.6700439453125
2010-04-23,23.868581771850586,1217.280029296875
2010-04-26,23.984228134155273,1212.050048828125
2010-04-27,23.783777236938477,1183.7099609375
2010-04-28,23.830036163330078,1191.3599853515625
2010-04-29,23.899425506591797,1206.780029296875
2010-04-30,23.54478645324707,1186.68994140625
2010-05-03,23.791484832763672,1202.260009765625
2010-05-04,23.22869110107422,1173.5999755859375
2010-05-05,23.01282501220703,1165.8699951171875
2010-05-06,22.342100143432617,1128.1500244140625
2010-05-07,21.748472213745117,1110.8800048828125
2010-05-10,22.311267852783203,1159.72998046875
2010-05-11,22.2650089263916,1155.7900390625
2010-05-12,22.696739196777344,1171.6700439453125
2010-05-13,22.542539596557617,1157.43994140625
2010-05-14,22.303560256958008,1135.6800537109375
2010-05-17,22.311267852783203,1136.93994140625
2010-05-18,22.148637771606445,1120.800048828125
2010-05-19,21.869836807250977,1115.050048828125
2010-05-20,20.994739532470703,1071.5899658203125
2010-05-21,20.78563690185547,1087.68994140625
2010-05-24,20.344219207763672,1073.6500244140625
2010-05-25,20.1893310546875,1074.030029296875
2010-05-26,19.368440628051758,1067.949951171875
2010-05-27,20.1351261138916,1103.06005859375
2010-05-28,19.980236053466797,1089.4100341796875
2010-06-01,20.049930572509766,1070.7099609375
2010-06-02,20.491355895996094,1098.3800048828125
2010-06-03,20.801136016845703,1102.8299560546875
2010-06-04,19.972492218017578,1064.8800048828125
2010-06-07,19.58527946472168,1050.469970703125
2010-06-08,19.445880889892578,1062.0
2010-06-09,19.19806671142578,1055.68994140625
2010-06-10,19.360700607299805,1086.8399658203125
2010-06-11,19.871814727783203,1091.5999755859375
2010-06-14,19.747913360595703,1089.6300048828125
2010-06-15,20.584293365478516,1115.22998046875
2010-06-16,20.382936477661133,1114.6099853515625
2010-06-17,20.42166519165039,1116.0400390625
2010-06-18,20.475866317749023,1117.510009765625
2010-06-21,20.096406936645508,1113.199951171875
2010-06-22,19.957002639770508,1095.31005859375
2010-06-23,19.600765228271484,1092.0400390625
